Order_ID,Customer_ID,Order_Date,Month,City,Zone,Restaurant_Name,Cuisine,Customer_Type,Items_Count,Food_Amount,Discount_Amount,Delivery_Fee,Tax_Amount,Final_Order_Value,Payment_Mode,Delivery_Partner,Distance_km,Expected_Delivery_Min,Actual_Delivery_Min,Late_duration,Late_Delivery,Order_Status,Customer_Rating,Weather,Offer_Type,Revenue
ORD00001,CUST0460,24-11-2025,November,Hyderabad,South,Dosa Delight,Chinese,Returning,4,"₹ 1,287.17",₹ 0.00,₹ 25.00,₹ 64.36,"₹ 1,376.53",Wallet,UrbanRunner,6.6,34,51,17,Yes,Delivered,3.7,Rainy,No Offer,High
ORD00002,CUST0388,23-05-2025,May,Delhi,West,Healthy Bowl,South Indian,New,4,"₹ 1,002.60",₹ 0.00,₹ 55.00,₹ 50.13,"₹ 1,107.73",Debit Card,Zippy,3.9,27,25,-2,No,Refunded,,Cloudy,No Offer,High
ORD00003,CUST0074,10-10-2025,October,Chennai,Central,Pizza Palace,Chinese,New,1,₹ 430.14,₹ 86.03,₹ 25.00,₹ 17.21,₹ 386.32,Credit Card,UrbanRunner,10.5,58,64,6,Yes,Delivered,3.7,Clear,20% Off,High
ORD00004,CUST0323,22-11-2025,November,Mumbai,South,Tandoor Tales,Healthy,New,3,"₹ 1,023.41",₹ 0.00,₹ 0.00,₹ 51.17,"₹ 1,074.58",Wallet,FastFleet,3.5,26,33,7,Yes,Delivered,4.3,Hot,No Offer,Medium
ORD00005,CUST0113,02-12-2025,December,Jaipur,South,Dosa Delight,North Indian,New,5,"₹ 2,034.37",₹ 50.00,₹ 45.00,₹ 99.22,"₹ 2,128.59",Wallet,FastFleet,10.9,59,58,-1,No,Delivered,4.4,Clear,Flat 50,High
ORD00006,CUST0162,18-11-2025,November,Pune,Central,Tandoor Tales,Pizza,Returning,5,"₹ 2,124.69",₹ 50.00,₹ 0.00,₹ 103.73,"₹ 2,178.42",Cash,QuickRider,8.5,43,46,3,No,Delivered,4,Cloudy,Flat 50,High
ORD00007,CUST0372,02-01-2025,January,Delhi,Central,Roll Nation,Pizza,Returning,2,₹ 943.39,₹ 188.68,₹ 35.00,₹ 37.74,₹ 827.45,Wallet,DoorDashPro,9.4,60,55,-5,No,Delivered,4.1,Cold,20% Off,High
ORD00008,CUST0553,03-05-2025,May,Bengaluru,North,Pizza Palace,Healthy,Premium,2,₹ 603.66,₹ 120.73,₹ 45.00,₹ 24.15,₹ 552.08,Wallet,FastFleet,11.4,54,62,8,No,Cancelled,,Clear,20% Off,High
ORD00009,CUST0073,09-06-2025,June,Chennai,West,Cafe Crave,Rolls,New,1,₹ 133.42,₹ 0.00,₹ 25.00,₹ 6.67,₹ 165.09,Credit Card,UrbanRunner,1.1,19,15,-4,No,Delivered,4.1,Clear,No Offer,High
ORD00010,CUST0056,02-05-2025,May,Jaipur,South,Dosa Delight,Rolls,Returning,2,₹ 363.31,₹ 50.00,₹ 25.00,₹ 15.67,₹ 353.98,Wallet,Zippy,2,34,42,8,Yes,Delivered,3.2,Clear,Flat 50,Low
ORD00011,CUST0243,01-02-2025,February,Chennai,North,Wok Express,Chinese,New,2,₹ 605.32,₹ 0.00,₹ 0.00,₹ 30.27,₹ 635.59,Cash,FastFleet,5.9,49,44,-5,No,Cancelled,,Clear,No Offer,Medium
ORD00012,CUST0594,28-07-2025,July,Mumbai,West,Biryani House,Biryani,Returning,4,"₹ 1,193.11",₹ 0.00,₹ 35.00,₹ 59.66,"₹ 1,287.77",Cash,UrbanRunner,5.7,49,59,10,Yes,Delivered,3.6,Cloudy,No Offer,High
ORD00013,CUST0593,01-02-2025,February,Kolkata,Central,Flavour Factory,Healthy,Premium,5,"₹ 1,764.57",₹ 0.00,₹ 0.00,₹ 88.23,"₹ 1,852.80",Wallet,UrbanRunner,10.4,48,55,7,Yes,Delivered,4.6,Rainy,No Offer,High
ORD00014,CUST0358,21-01-2025,January,Chennai,East,Momo Street,Chinese,New,3,₹ 879.45,₹ 0.00,₹ 45.00,₹ 43.97,₹ 968.42,Cash,Zippy,4.5,30,28,-2,No,Delivered,4.4,Clear,No Offer,High
ORD00015,CUST0160,06-05-2025,May,Delhi,West,Roll Nation,Rolls,Returning,5,₹ 895.46,₹ 0.00,₹ 35.00,₹ 44.77,₹ 975.23,Wallet,DoorDashPro,11.2,51,50,-1,No,Delivered,4.9,Cold,No Offer,High
ORD00016,CUST0575,25-05-2025,May,Chennai,South,Flavour Factory,North Indian,Returning,4,"₹ 1,271.11",₹ 0.00,₹ 35.00,₹ 63.56,"₹ 1,369.67",UPI,Zippy,1.5,29,32,3,No,Delivered,3.5,Cloudy,No Offer,High
ORD00017,CUST0574,27-02-2025,February,Delhi,Central,Curry Corner,Biryani,Returning,1,₹ 334.78,₹ 0.00,₹ 35.00,₹ 16.74,₹ 386.52,Credit Card,QuickRider,5,31,32,1,No,Delivered,4.1,Hot,No Offer,High
ORD00018,CUST0472,14-11-2025,November,Mumbai,South,Noodle Hub,Burger,New,4,₹ 854.80,₹ 0.00,₹ 0.00,₹ 42.74,₹ 897.54,Debit Card,DoorDashPro,3.9,29,25,-4,No,Delivered,4.4,Clear,Free Delivery,Medium
ORD00019,CUST0119,06-06-2025,June,Kolkata,South,Momo Street,Desserts,New,3,₹ 654.29,₹ 98.14,₹ 35.00,₹ 27.81,₹ 618.96,UPI,DoorDashPro,8.1,51,56,5,No,Cancelled,,Cloudy,Combo Offer,High
